doi,Unnamed: 1,status_download,nivel_informacao,categoria,tecnica,title,title 
10.1007/s10499-025-02342-9,sem_open_access,resumo,outros,nao_identificada,excluir,NOVEL INSIGHTS INTO THE INTERACTION BETWEEN LITOPENAEUS VANNAMEI AND ENTEROCYTOZOON HEPATONAEI VIA HISTOPATHOLOGY AND TRANSCRIPTOMIC ANALYSIS,
10.1007/s10499-025-02340-x,download_ok,texto_completo,aquicultura,h&e,incluir,CONCENTRATION-DEPENDENT RECOVERY OF GILLS AND HEPATOPANCREAS IN JUVENILE PENAEUS VANNAMEI DURING LONG-TERM EXPOSURE TO HIGH ALKALINITY,
10.1016/j.fbio.2025.107846,sem_open_access,resumo,outros,nao_identificada,excluir,MECHANISM OF THE LIMOSILACTOBACILLUS FERMENTUM RC4 AND LACTIPLANTIBACILLUS PLANTARUM B6 IN IMPROVING THE GROWTH PERFORMANCE AND MUSCLE QUALITY OF LITOPENAEUS VANNAMEI,
10.1038/s41598-025-19591-6,download_ok,texto_completo,aquicultura,histochemistry,incluir,NOVEL MIDGUT SMOOTH MUSCLE NECROSIS (MSMN) IN TRANSLUCENT OR GLASS POST-LARVAE OF WHITELEG SHRIMP,
10.1016/j.fsi.2025.110701,sem_open_access,resumo,outros,nao_identificada,excluir,"HIGH-TEMPERATURE STRESS IMPAIRS THE INTESTINAL FUNCTIONAL HOMEOSTASIS OF LITOPENAEUS VANNAMEI BY ALTERING MUCOSAL INTEGRITY, IMMUNE SIGNALING, AND MICROBIAL COMMUNITY",
10.1016/j.cirep.2025.200233,sem_pdf,resumo,outros,nao_identificada,excluir,DIETARY SUPPLEMENTATION OF ADONIS-DERIVED ASTAXANTHIN ENHANCES ANTIOXIDANT CAPACITY AND IMMUNE RESPONSE IN LITOPENAEUS VANNAMEI,
10.3390/antiox14111383,erro_download,resumo,outros,nao_identificada,excluir,"AMMONIA STRESS DISRUPTS INTESTINAL HEALTH IN LITOPENAEUS VANNAMEI UNDER SEAWATER AND LOW-SALINITY ENVIRONMENTS BY IMPAIRING MUCOSAL INTEGRITY, ANTIOXIDANT CAPABILITY, IMMUNITY, ENERGY METABOLISM, AND MICROBIAL COMMUNITY",
10.1016/j.envpol.2025.126976,sem_pdf,resumo,outros,nao_identificada,excluir,"TOXICOLOGICAL EFFECTS OF SULFAMETHOXAZOLE (SMX) AND TIRE MICRO-PARTICLES (TMPS), ALONE OR IN COMBINATION, ON THE HEPATOPANCREAS OF LITOPENAEUS VANNAMEI",
10.1016/j.aqrep.2025.103010,sem_pdf,resumo,outros,nao_identificada,excluir,"RESPONSES IN GROWTH PERFORMANCE, ANTIOXIDANT CAPACITY, HEPATOPANCREAS MORPHOLOGY, AND NON-SPECIFIC IMMUNE FUNCTION AFTER FUNCTIONAL PROTEIN PEPTIDE REPLACE FISHMEAL IN THE PACIFIC WHITE SHRIMP (LITOPENAEUS VANNAMEI)",
10.1016/j.aqrep.2025.103026,sem_pdf,resumo,outros,nao_identificada,excluir,"DIETARY ENZYME-HYDROLYZED MARINE PROTEINS SUPPLEMENTATION PROMOTES APPETITE, ENHANCES LIPID AND PROTEIN METABOLISM IN LITOPENAEUS VANNAMEI FED REDUCED FISH MEAL DIETS",
10.3390/antiox14101209,sem_pdf,resumo,outros,nao_identificada,excluir,"EFFECTS OF LYSOLECITHIN ON GROWTH PERFORMANCE, ANTIOXIDANT CAPACITY, AND LIPID METABOLISM OF LITOPENAEUS VANNAMEI",
10.3390/fishes10100524,erro_download,resumo,outros,nao_identificada,excluir,"EFFICACY OF MANGO LEAF-BASED FEED ADDITIVE ON GROWTH PERFORMANCE, ANTIOXIDANT STATUS AND DIGESTIVE ENZYME ACTIVITIES IN LITOPENAEUS VANNAMEI",
10.1371/journal.pone.0334906,sem_pdf,resumo,outros,nao_identificada,excluir,DIFFERENTIAL REGULATION OF THE EICOSANOID BIOSYNTHESIS PATHWAY IN RESPONSE TO ENTEROCYTOZOON HEPATOPENAEI INFECTION IN LITOPENAEUS VANNAMEI,
10.1016/j.marpolbul.2025.118357,sem_open_access,resumo,outros,nao_identificada,excluir,SIZE-DEPENDENT TOXICOLOGICAL EFFECTS AND MECHANISMS OF PET MICROPLASTICS IN PACIFIC WHITE SHRIMP (PENAEUS VANNAMEI),
10.1007/s10499-025-02023-7,sem_open_access,resumo,outros,nao_identificada,excluir,EFFECT OF DIETARY SUPPLEMENTATION OF LACTIPLANTIBACILLUS PLANTARUM PROBIOTICS AS FUNCTIONAL FEED ADDITIVE IN PACIFIC WHITE SHRIMP (PENEAUS VANNAMEI),
10.1016/j.aqrep.2025.103012,sem_pdf,resumo,outros,nao_identificada,excluir,"THE IMPACT OF BILE ACID SUPPLEMENTATION IN THE DIET OF POST-LARVAL SHRIMP: GROWTH PERFORMANCE, LIPID METABOLISM, GUT MICROBIOTA, AND MOLECULAR RESPONSES",
10.1016/j.aqrep.2025.102991,sem_pdf,resumo,outros,nao_identificada,excluir,MINERAL SUPPLEMENTATION PROTECTED INTESTINAL HEALTH IN LITOPENAEUS VANNAMEI BY ALLEVIATING THE IMMUNE RESPONSE AND OXIDATIVE DAMAGE CAUSED BY HIGH-LEVEL OF CLOSTRIDIUM AUTOETHANOGENUM PROTEIN,
10.1016/j.aquaculture.2025.742671,sem_open_access,resumo,outros,nao_identificada,excluir,"DIETARY CALCIUM PROMOTES GROWTH, LIPID METABOLISM AND ENERGY METABOLISM BY ACTIVATING THE CA2+-CAMKK?-AMPK SIGNALING PATHWAY IN PACIFIC WHITE SHRIMP (LITOPENAEUS VANNAMEI)",
10.54203/scil.2025.wvj58,download_ok,texto_completo,aquicultura,histochemistry,incluir,EVALUATION OF GARLIC POWDER AS A CONTROL AGENT OF VIBRIO SP. IN THE DIGESTIVE TRACT OF WHITE-LEG SHRIMP,
10.1016/j.aninu.2025.03.007,sem_pdf,resumo,outros,nao_identificada,excluir,"EFFECTS OF HAEMATOCOCCUS PLUVIALIS ON GROWTH PERFORMANCE, HEPATOPANCREATIC TRANSCRIPTOME AND RESISTANCE TO AMMONIA-NITROGEN STRESS OF PACIFIC WHITE SHRIMP (LITOPENAEUS VANNAMEI)",
10.1016/j.micpath.2025.107735,sem_open_access,resumo,outros,nao_identificada,excluir,THE EFFECTS OF THE SANHUANGLIANQIAO MIXTURE ON VIBRIO PARAHAEMOLYTICUS INFECTION IN PENAEUS VANNAMEI,
10.1016/j.fsi.2025.110434,sem_open_access,resumo,outros,nao_identificada,excluir,"RESPONSE OF LITOPENAEUS VANNAMEI TO DIETARY ISOTHIOCYANATE: GROWTH, BIOCHEMISTRY, IMMUNITY AND GENE EXPRESSION RELATED TO HEPATOPANCREAS AND INTESTINAL HEALTH",
10.1016/j.fsi.2025.110433,sem_open_access,resumo,outros,nao_identificada,excluir,OXIDATIVE STRESS AND METABOLIC PERTURBATIONS UNRAVEL THE MOLECULAR BASIS OF HIGH DIETARY POULTRY BY-PRODUCT MEAL-INDUCED GROWTH IMPAIRMENT AND INFLAMMATION RESPONSE IN LITOPENAEUS VANNAMEI,
